"Project","Text","SDG","Target"
"167795","global shift urban sprawl inclusive transit oriented development tod applied improve urban mobility african cities","SDG 9","SDG 9.a"
"167795","government budgeting process calendar disseminated project team align project budget preparation timeline national budget","SDG 15","SDG 15.9"
"167795","government local central levels benefit institutional reform capacitybuilding activities preparation implementation stages","SDG 6","SDG 6.a"
"167795","grs ensures complaints received promptly reviewed address project related concerns","SDG 16","SDG 16.1"
"167795","impact projects lowcarbon mass transit system climate change mitigation significant compared project scenario brt cut ghg emissions due transport douala minimum percent projects lifetime","SDG 13","SDG 13.2"
"167795","impacts poverty exacerbated rates inequalities","SDG 1","SDG 1.1"
"167795","implementation brt system contribute increasing supply public transport potentially absorbing significant share private vehicle users reducing vehicles routes","SDG 17","SDG 17.17"
"167795","implementation brt feeder network percent population douala access additional health facility minutes","SDG 9","SDG 9.b"
"167795","implementation proposed brt system contribute percent increase jobs accessible hour travel lowincome households compared baseline scenario","SDG 16","SDG 16.10"
"167795","implementing agency obliged refund ineligible expenditures found das","SDG 15","SDG 15.8"
"167795","indicator methodology satisfaction rating women subindicator report annual considers users brt womens answers identifying women survey","SDG 17","SDG 17.19"
"167795","indiscriminate concentration diverse conflicting land patterns port activities industrial warehousing freight transport commercial crowded private bus stations intercity travels street vendors occupying rightofway city core akwa deido significantly disrupts urban landscape limits mobility","SDG 17","SDG 17.17"
"167795","infrastructure design consistent relevant framework instruments developed ongoing tsdp specific attention safety livability accessibility enjoyability","SDG 9","SDG 9.a"
"167795","initial advance paragraph describes disbursement arrangements apply temporary measure explained paragraph lifted","SDG 17","SDG 17.19"
"167795","initial catchment divided subbasins capture hydrological processes purpose study flood risks conducted crealp sogefi","SDG 15","SDG 15.8"
"167795","integration transport urban planning tod approach contribute cleaner mobility carbonintensive urban environment","SDG 11","SDG 11.3"
"167795","internal auditor conduct expost reviews projects transactions activities conduct periodic review continuing adequacy internal control environment report project management steering committee","SDG 8","SDG 8.8"
"167795","internal layouts design technical specifications renewed vehicles informed data recommendations derived focus conducted women situation vulnerability","SDG 5","SDG 5.1"
"167894","government claim disbursements bank pbcs achieved","SDG 17","SDG 17.8"
"167894","governments response crisis swift ambitious reforms implemented set stage stronger equitable growth path","SDG 4","SDG 4.1"
"167894","grid approach pursues twin goals longterm sustainability lens","SDG 12","SDG 12.8"
"167894","grs ensures complaints received promptly reviewed address project related concerns","SDG 16","SDG 16.1"
"167894","guidelines preventing combating fraud corruption projects financed ibrd loans ida credits grants dated october revised january july apply project standard procurement documents procurements carried international procurement procedures standard procurement documents procurements carried international procurement procedures","SDG 6","SDG 6.a"
"167894","guidelines preventing combating fraud corruption projects financed page ma northeast economic development project ibrd loans ida credits grants dated october revised january july apply project standard procurement documents procurements carried international procurement procedures","SDG 6","SDG 6.a"
"167894","ig metlw conducted recently missions developed tools including manual audit ii internal audit charter","SDG 6","SDG 6.a"
"167894","igat inspection role missions cover financial management inspections technical audits including verification information field","SDG 17","SDG 17.8"
"167894","igat built capacity iva ongoing pforrs ifppbcs","SDG 17","SDG 17.19"
"167894","igat developed solid reputation reliable verification agent involvement proposed operation constitute strong monitoring program results","SDG 10","SDG 10.5"
"167894","igat entity directly minister interior","SDG 15","SDG 15.8"
"167894","igs mandated ensure internal audit function directorates meemtl central regional levels","SDG 6","SDG 6.a"
"167894","imf predicts gdp increase average percent","SDG 15","SDG 15.8"
"167894","impact evaluation identify bottlenecks removed enhance benefits","SDG 15","SDG 15.8"
"167894","implementation mitigation measures monitored environmental monitoring plan esmp","SDG 10","SDG 10.5"
"167894","implementing agencies gain additional experience cooperatively world bank integrated territorial development projects","SDG 9","SDG 9.b"
"167894","implementing agency subcomponent ofppt partnership public private actors","SDG 17","SDG 17.17"
"167894","improved roads facilitate existing connections introducing safety measures proper signage habitat movement","SDG 3","SDG 3.6 "
"167894","increase emissions attributed increase travel speeds generated traffic project","SDG 15","SDG 15.8"
"167894","industrial sector region remains underdeveloped total firms linked transformation natural resources agriculture mining representing percent total economic activity generated nador oujda berkanes share growing recent","SDG 2","SDG 2.a"
"167894","initial procurement plan covers eighteen months project implementation","SDG 15","SDG 15.8"
"167894","institutional capacity meedgr implementing entities addressed pmu supported fulltime environmental specialist social specialist piu ii environmental specialist social specialist embedded focal implementing entities iii pm consulting pmc firm environmental bioengineering social team iii contractor environmental health safety managerofficer","SDG 13","SDG 13.3"
"167894","integration esmp civil bidding document mees commitments environmental social commitment plan","SDG 10","SDG 10.2"
"167894","integration esmp civil bidding document mees commitments escp","SDG 17","SDG 17.17"
"167894","involvement regional elected officials participatory manner expanded roles regions decentralization ensured participation representatives local governments including regional council oriental stakeholders including private sector civil society including wilaya oriental cri oriental","SDG 17","SDG 17.17"
"167894","iva confirm technical achievement indicatorspbcs amount eep incurred","SDG 15","SDG 15.8"
"167894","iva prepare results verification report shared ministry finance world bank","SDG 17","SDG 17.8"
"167894","key procurement risks identified include review sample contracts shown delays awarding infrastructure contracts","SDG 9","SDG 9.a"
"167894","kingdom significant social economic progress political stability public investments institutional sector reforms","SDG 10","SDG 10.2"
"167894","considered major connectivity investment triggered sizeable economic benefits hinterland","SDG 17","SDG 17.5"
"167894","assigned entity charge auditing gom programs line countrys financial audit arrangements financial management team carried comprehensive assessment igf complemented pefa annual review performance entity","SDG 15","SDG 15.a"
"167894","sets resilient inclusive sustainable territorial development strategic pathways achieve growth ambition formulated","SDG 9","SDG 9.a"
"167894","limited size existing private sector emerging industrial sector undermine rapid organic development dynamic northeast region","SDG 17","SDG 17.17"
"167894","line item budget projectprogram title funds earmarkedringfenced project","SDG 13","SDG 13.a"
"167894","list reviewed world bank esms subsequently developed smes related activities pbcs sufficient detail implementation","SDG 16","SDG 16.1"
"167894","list eligible expenditures detailed pom table table","SDG 15","SDG 15.8"
"167894","loan funds transferred treasury account central bank bank al maghrib managed treasury kingdom tgr project designated account","SDG 13","SDG 13.a"
"167894","main environmental risks include vegetation clearing earth producing volumes excess material generation construction waste river crossings dust noise vibration extraction natural construction materials operation camps","SDG 12","SDG 12.4 "
"167894","main objective capacity assessment determine ias capacity adequately carry procurement function project","SDG 13","SDG 13.3"
"167894","main procurement packages include procurement road construction maintenance contracts including laborintense performancebased contracts consulting firms required provide technical assistance implementing agencies mediumsize nonconsulting contracts","SDG 3","SDG 3.6 "
"167894","main risk lies relative lack experience specific implementing agencies procedures world bank additional adequate human resources","SDG 16","SDG 16.1"
"167894","main risks lie complex design project simplified extent projects integrated nature","SDG 11","SDG 11.3"
"167894","major procurement activities project include procurement contracts improvement road infrastructure potentially contracts ranging million road construction rehabilitation maintenance total amount million laborintensive contracts road maintenance total amount million","SDG 3","SDG 3.6 "
"167894","majority species identified local species distribution road","SDG 15","SDG 15.8"
"167894","market qualified experienced bidders","SDG 10","SDG 10.5"
"167894","mechanism includes threestep process reception diverse entry national platform wwwchikayama phone letter inperson categorization treatment grievances aims resolve grievance day period","SDG 2","SDG 2.5"
"167894","mee mtl familiar world bankfinanced fm procedures requirements terms team assist fm team crio ofppt budgeting financial reporting auditing disbursement entities involved program build capacity tools bankfinanced operations required financial controls financial reporting improvements internal external audit","SDG 6","SDG 6.a"
"167894","mee mtl sound internal control systems assessed iii projects external auditor igf annually perform recent bankfinanced operation sector review internal control systems implementing entities ofppt robust internal control audit systems","SDG 6","SDG 6.a"
"167894","mee including project management unit pmu formalized prior days project effectiveness act technical secretariat nspc prepare based input project implementing agencies projects annual progress reports financial statements carry project midterm review","SDG 15","SDG 15.a"
"167894","mee mtl mi cri oriental miepeec ofppt including relevant directorates agencies soes oversee implementation activities jurisdiction","SDG 4","SDG 4.3"
"167894","meemtl forming single ministry metlw october","SDG 16","SDG 16.1"
"167894","mena gender strategy builds objectives aims renew social contract tackling constraints womens economic opportunities ii address gender specific vulnerabilities create opportunities economic inclusion iii identify address specific women recovery reconstruction phases","SDG 10","SDG 10.2"
"167894","ministry equipment water mee coordination dgr experiences implementing world bank projects satisfactory adherence environmental social risks management","SDG 11","SDG 11.6"
"167894","model based strategic pillars productive diversified economy generates solid added quality jobs ii reinforced human capital equipped future iii inclusion opportunities citizens consolidated social bond iv resilient dynamic territories development anchored","SDG 9","SDG 9.a"
"167894","morocco public financial management system based principle separation payments ordonnateur record payments accounting system comptables publics","SDG 17","SDG 17.17"
"167894","affected households operate urban informal sector engaged precarious jobs services art crafts sectors","SDG 11","SDG 11.5"
"167894","nador port industrial zone project considered facilities facilities carried planned carried contemporaneously project port industrial zone judgment directly significantly related project facilities project viable constructed expanded conducted project exist","SDG 16","SDG 16.1"
"167894","nador port industrial zone meet criteria considered facilities project","SDG 15","SDG 15.8"
"168634","covid pandemic hit brazil hard country worrying pandemic situation","SDG 3","SDG 3.3"
"168634","covid pandemic led economic recession gross domestic product gdp decline percent","SDG 11","SDG 11.5"
"168634","covid recovery plan plano estadual de retomada desenvolvimento econmico serves filter prioritize programs ppa focusing targeted recovery measures aimed relaunching economy protecting jobs strengthening public services","SDG 14","SDG 14.2"
"168634","cpf supports brazils effort reach nationally determined contribution aims reduce total net greenhouse gas ghg emissions percent percent climate neutrality netzero emissions","SDG 13","SDG 13.2"
"168634","criteria choose municipalities included volume received decentralization funds implement health policies regional economic population relevance","SDG 13","SDG 13.a"
"168634","current legal framework lays foundation dispute resolution system government contracts","SDG 16","SDG 16.9"
"168634","daily financial administration operations commitment verification payment carried executing units executed specific unidade executora budget executing agency siaffmis","SDG 15","SDG 15.a"
"168634","data identify map disaster risks prioritize natural hazards management support health emergency planning guide risk assessment management range health relevant topics","SDG 11","SDG 11.3"
"168634","data identify map disaster risks prioritize natural hazards management support health emergency planning guide risk assessment management range healthrelevant topics","SDG 11","SDG 11.3"
"168634","data collected directly monitor environmental climate risks inform urban land planning public investment planning disaster risk management","SDG 11","SDG 11.3"
"168634","data budget execution rate percent date complete percentage increase deadline report funds march","SDG 16","SDG 16.1"
"168634","data provided sepl adequate competition substantial participating bidders","SDG 16","SDG 16.10"
"168634","decentralized activities program implementation ucms based resolution including technical operational financing criteria municipalities participation","SDG 4","SDG 4.3"
"168634","decree legal instrument complemented detailed methodological notes relevant topics page parana public sector modernization innovation service delivery cost benefit analysis","SDG 9","SDG 9.5"
"168634","decree legal instrument complemented detailed methodological notes relevant topics cost benefit analysis","SDG 16","SDG 16.9"
"168634","designated account variable ceiling based submission forecasts expenditures paid months","SDG 15","SDG 15.8"
"168634","development objective indicators intermediate indicators dlis aligned pdo elaborated results framework","SDG 17","SDG 17.19"
"168634","diagnostics iva receive regional productive review relevant development plans materials reports finalized constituting regions regional diagnostic phase","SDG 11","SDG 11.3"
"168634","digital platform aims consolidate data progress report platform outlining data including public sector service public","SDG 17","SDG 17.17"
"168634","disaster management center established replicated brazil including esprito santo minas gerais so paulo rio grande sul","SDG 13","SDG 13.1"
"168634","disaster risk information system received united nations award information system latin america","SDG 16","SDG 16.10"
"168634","disbursement ta funds processed accordance world bank procedures stipulated legal agreement dfil","SDG 16","SDG 16.9"
"168634","disbursement ta funds processed accordance world bank procedures stipulated legal agreement disbursement financial information letter dfil","SDG 17","SDG 17.8"
"168634","disbursements resolution sesa","SDG 15","SDG 15.8"
"168634","diseases circulatory system cancers main death parana","SDG 16","SDG 16.10"
"168634","dli finances digital platform inputs warnings prevent damage property people exacerbated climate change addition providing geospatial data elaboration public policies protect people emerging disease burdens environmental climate change health assets disaster risk","SDG 14","SDG 14.2"
"168634","dli scalable captures parans efforts respond mitigate effects covid pandemic expansion public sector icu clinical capacity","SDG 17","SDG 17.17"
"168634","dlis aligned priorities designed challenging achievable financial incentive attached dli lead intended impacts allowing predictable flow funds","SDG 13","SDG 13.a"
"168634","documentation advances reimbursement requests statement expenditures dfil","SDG 15","SDG 15.8"
"168634","documentation fundstransfers sesa sgif financial management information system chart account structure respective program budget line activity initiative source funds faf tracking program expenditures","SDG 16","SDG 16.10"
"168634","draft sepl report institutions defined instrumentsoutputs include manuals shared guidelines project world bank preparation review comments feedback updated legal instruments finalization technical notes","SDG 16","SDG 16.9"
"168634","economic analysis evaluates costs benefits interventions program results","SDG 15","SDG 15.8"
"168634","economic benefit estimated million","SDG 15","SDG 15.8"
"168634","economic benefits calculated based positive impact individual income due health increased access improved effectiveness phc services efficiency gains obtained improved phc services","SDG 6","SDG 6.4"
"168634","economic gains program estimated expected schedule hospitals conversion average slack hospitals","SDG 14","SDG 14.4"
"168634","economy paran severely affected covid pandemic","SDG 11","SDG 11.5"
"168634","effectiveness consultations monitored share representatives vulnerable social established institutional instances indigenous peoples traditional communities council consultation deliberation relevant programsthematic reporting satisfaction engagement process","SDG 13","SDG 13.3"
"168634","effectiveness system hampered lack geospatial mapping highresolution spacetime stochastic models federal university santa catarina","SDG 16","SDG 16.10"
"168634","efficiency innovative agenda basis implementing priority program supported world bank","SDG 9","SDG 9.5"
"168634","efficient management natural resources environmental licensing process critical achieving parans economic environmental goals","SDG 11","SDG 11.6"
"168634","efforts updating registry information valuation legal documentation expected generate savings rental space fuel property maintenance free properties government auctions current holdings vehicles properties","SDG 11","SDG 11.7"
"168634","emergency care network national council health departments conass maternal child care network me paranaense national international events","SDG 5","SDG 5.3"
"168634","transparency patients adults target refers prior portal children results","SDG 16","SDG 16.2"
"168634","entire operational arrangement transfer resources detail pom","SDG 15","SDG 15.a"
"168634","environment externality core human health","SDG 12","SDG 12.4 "
"168634","environmental social issues proposed actions","SDG 10","SDG 10.2"
"168634","environmental licenses water rights licenses issued investments brl billion paran fines resulting environmental infractions brl million","SDG 6","SDG 6.4"
"168634","es risk ratings ipf component moderate","SDG 16","SDG 16.1"
"168634","es risks activities included pforr component classified moderate","SDG 4","SDG 4.3"
"168634","essa concludes borrowers implementing agencies experiences developing programs projects level complexity relevant track record es issues","SDG 12","SDG 12.1"
"168634","essa assessed risks potential adverse impacts pforr program concluded predictable temporary andor reversible","SDG 11","SDG 11.6"
"168634","essa concludes pforr component developed legal regulatory environment significant certainty jurisdiction implementing agencies enjoy stability strong oversight judicial extrajudicial bodies including mass media public opinion","SDG 16","SDG 16.9"
"168634","essential musthave features wellfunctioning public investment system include investment guidance project development preliminary screening ii formal project appraisal iii independent review appraisal iv project selection budgeting project implementation vi project adjustment vii facility operation viii project evaluation","SDG 17","SDG 17.5"
"168634","establishment investment committee critical step putting modern system preparation public investment projects","SDG 16","SDG 16.10"
"168634","exact annual preparation progress regulations manuals database outputs starting status","SDG 14","SDG 14.4"
"168634","execution rate investments averaged percent","SDG 16","SDG 16.1"
"168634","execution rate public investment spending percent reflects weaknesses project preparation delays preparing technical specifications bidding documents","SDG 16","SDG 16.1"
"168634","expected economic gain individuals saved multiplied productive life minus average gdp capita","SDG 15","SDG 15.8"
"168634","expected economic gain life saved additional lived individual discharged hospitals multiplied average annual earnings pnadc","SDG 9","SDG 9.b"
"168634","federal constitution laws combat fraud corruption define categories misconduct provide sanctions suspension political rights removal public office freezing assets financial compensation damages caused public treasury personal firms","SDG 11","SDG 11.2"
"168634","federal framework laws regulations procurement solid transparent public officials private sector","SDG 17","SDG 17.17"
"168634","potential negative risks impacts proposed pforr component predictable temporary andor reversible","SDG 15","SDG 15.8"
"168634","fiduciary risk substantial program funded budget lines requiring monitoring considerable amount information governments units systems","SDG 16","SDG 16.10"
"168634","final version sep labor management procedures disclosed days program effective date","SDG 15","SDG 15.8"
"168634","final version sep incorporate feedback consultation process","SDG 15","SDG 15.8"
"168634","financial execution budget lines carried executing units routine procedures federal laws regulations applicable","SDG 14","SDG 14.c"
"168634","financial statements program consist unaudited interim financial reports ifrs semester final semesters ifr serving programs annual financial statement","SDG 10","SDG 10.5"
"168634","financing covid clinical intensive care beds treatment patients infected sarscov","SDG 3","SDG 3.4"
"168634","findings assessment reflect comprehensive fm review potential implementing municipalities demonstrated sufficient fm arrangements decentralized level ensure budget decentralized funds properly accounted documented follow operations agreed fiduciary arrangements","SDG 13","SDG 13.a"
"168634","draft sep disclosed sepl website march","SDG 15","SDG 15.8"
"168634","fiscal pressure brought covid pandemic revealed undertake strategic real estate asset assessment examine current future real estate public sector alternative options subcontracting transport maintenance services consolidation real estate including rental options continued sale unused properties public auctions human resource management","SDG 15","SDG 15.b"
"168634","flow funds decentralized level municipalities health budget lines fundtofund fundo fundo mechanism health secretariat art complementary law january complementary law december establishment funsaude resolution dictates controls fundtofund faf transfers annual resolutions sesa","SDG 14","SDG 14.c"
