"Project","Text"
"P079032","table minimum criteria participation contest rn cost recovery level housing communal services percent collection rate hcs payments percent ratio local budget current expenditures local budget revenues ratio local budget deficit local budget revenues federal regional financial assistance percent ratio municipal debt local budget revenues financial assistance governments percent ratio municipalitys debt service local budget expenditures percent municipality region overdue debt federal budget loans guarantees ratio regional budget current expenditures regional budget revenues percent ratio regional budget deficit regional budget revenues federal financial assistance percent ratio regional public debt regional budget revenues financial assistance governments percent ratio regions public debt service regional budget expenditures percent criteria table assessing reform status selection process focus main improving financial viability communal services providers assessment criteria focus breaking vicious cycle revenues bad services improving cost recovery ii reducing existing arrears governments service providers iii linking collection payments directly services provided iv service providers autonomous accountable strengthening social protection consumers assessment criteria focus improving targeting coverage efficiency hcs subsidies ensuring payment subsidies cash paid ii consolidation program administration targeted social assistance benefits including housing allowances creating market competition housing management maintenance assessment criteria focus improving management maintenance repair multifamily buildings iencouraging buildinglevel collective management structures ii creating market competition building maintenance current capital repair iii fostering tenantowner awareness rights responsibilities iv clarifying rights obligations land plots"
"P079032","tangible positive results providing adequate investments service mprovements participating cities"
"P079032","tariff crosssubsidies result distortions undermine financial sustainability cs providers"
"P079032","tariffs based standard calculation operating costs standard margin capital investment profit"
"P079032","tariffs set cs providers receive adequate financial resources operate efficiently"
"P079032","technical assistance focuses encouraging buildinglevel collective management structures ii creating market competition building maintenance current capital repair iii fostering tenantowner awareness rights responsibilities iv clarifying rights obligations land plots"
"P079032","technical assistance focuses iencouraging buildinglevel collective management structures iicreating market competition building maintenance current capital repair iii fostering tenantowner awareness rights responsibilities iv clarifylng rights obligations land plots"
"P079032","technical assistance focused assisting municipalities design documents compliant world banks technical requirements preparing tender documents"
"P079032","technical assistance focus ensuring payment subsidies cash payments ii consolidation program administration targeted social assistance benefits including housing allowances"
"P079032","technical assistance focus ensuring payment subsidies cash payments iiconsolidation program administration targeted social assistance benefits including housing allowances"
"P079032","technical assistance focus improving cost recovery ii reducing existing arrears governments service providers iii linking collection payments directly services provided iv reforming municipal departments direct control local governments government owned joint stock companies fostering private sector participation"
"P079032","technical assistance focus iimproving cost recovery ii reducing existing arrears governments service providers iii linking collection payments directly services provided iv reforming municipal departments direct control local governments government owned joint stock companies fostering private sector participation"
"P079032","technical nia"
"P079032","ten cities awarded grants participate investment phase program"
"P079032","tendency recover implementation delays putting moment pressure procurement procedures sense reduction time guidelines"
"P079032","territorial sanitation evaluation reform status award grants cities substantiallv completed planned reform main requirement city participate investment phase receive grant funded investments substantially complete planned reforms"
"P079032","identify procurement packages municipalities investment plans selected participation project"
"P079032","accessible housing project main priorities increasing volume mortgage lending increasing housing affordability growing volume housing construction modernization cs providers infrastructure fulfilling governments duties providing special categories citizens housing"
"P079032","accounting system acceptable bank"
"P079032","accounts payable cs providers increased rur billion rur billion"
"P079032","administration targeted social assistance benefits fragmented limits takeup housing allowances"
"P079032","agreements separate municipality signed prior beginning investment phase project"
"P079032","agreements procedures asset transfer accounting fiduciary responsibilities parties reporting control requirements remedies government bank poor performance departure implemented reforms"
"P079032","agreements procedures asset transfer accounting fiduciary responsibilities parties reporting control requirements remedies government bank poor performance departure municipalities implemented reforms"
"P079032","aim establish model national campaign rolled regions russian federation"
"P079032","aim law bring local governments closer people accountable"
"P079032","amount payable arrears hcs entities implement investment contracts"
"P079032","annual audited project financial statements provided bank months fiscal closing project"
"P079032","assessment procurement capacity implement project conducted october"
"P079032","assessment fers procurement capacity implement project conducted october"
"P079032","assessment financial management procurement capacity fer carried"
"P079032","assessment revealed sufficient staffing adequate qualification procurement specialists readiness project preparation implementation"
"P079032","assessment include visits participating cities"
"P079032","assistance federal level include subcomponents development legal regulatory framework federal level million subcomponent assist federal government develop government resolutions normative acts complete existing legal regulatory framework operational"
"P079032","assistance federal level include subcomponents ideveloping legal regulatory framework federal level ii setting national hcs monitoring system iiidisseminating project results nonparticipating municipalities regions"
"P079032","assistance create capacity key federal ministries agencies responsible hcs reforms enable implementation housing communal services reforms regions municipalities"
"P079032","attainment pdo measured achievement pdo monitoring indicators investment investment plan"
"P079032","attainment pdos measured achievement monitoring indicators investment investment plan improved financial viability communal entities including district heating water supply hot water supply waste water disposal measured percentage entities incur operational losses reduced pipe breaks km networks water supply systems ii waste water supply systems iii hearing systems increased percentage private investments total amount investments upgrade communal infiastructure increased percentage private companies managing communal sector facilities basis concession agreements agreements total communal entities increased percentage multifamily buildings managed professional management companies measured percent multifamily buildings managed professional management companies total multifamily buildings selected method management increased percentage municipalities completed monetization housing allowances cash payments transferred individual social accounts citizens reduced percent social payment arrears measured ratio allowances privileges assigned allowances privileges paid improved quality delivery communal services population measured percentage population rating services satisfactory total size city population based data sociological surveys economic analysis economic analysis investments hcs proposed municipalities undertaken perspective costbenefit approach"
"P079032","audit housing communal services project audit conducted independent private auditors acceptable bank international standards auditing"
"P079032","audits financial statements accordance local accounting standards hcs providers conducted accordance local auditing standards local demonstrated adequate capacity quality independence"
"P079032","average investment capita based cities population participating investment phase"
"P079032","bank accumulated vast knowledge sector past decade result implementing investment policy development projects esws policy dialogue government"
"P079032","bank considered source global knowledge practice convening power engage scales country regional local ability integrate"
"P079032","bank review approve annual budgets"
"P079032","banks ongoing completed operations provide valuable insights aspects hcs reforms investments hcs infrastructure"
"P079032","benefit measured multiple units output saved average production cost unit service"
"P079032","benefits municipality derives service quality improvements estimated cost savings alternative avenues filling gap supplied service quality adequate quality"
"P079032","benefits include improved living conditions households improved quality housing communal services reduction emissions pollution result increased energy efficiency reduced water losses improved quality potable water increased housing"
"P079032","broader service coverage lower capita fixed costs service assuming availability spare capacity utility"
"P079032","cash flow cs providers inadequate due tariffs subsidies reimbursed poor management"
"P079032","cash flow cs providers low tariffs properly account depreciation service providers reimbursed subsidies provide consumers government entities pay consumed services"
"P079032","cash flow cs providers low"
"P079032","ceiling designated account equivalent million initial stage project subsequently increased million"
"P079032","ceiling perceived regions municipalities political interference adversely affects investment levels"
"P079032","challenge lies improving hcs services local level bold implement federal legislative framework"
"P079032","challenge implementing hcs reforms existence political subnational levels"
"P079032","choice lending instrument"
"P079032","cities prepare detailed investment plans hcs infrastructure financed project design tender documents"
"P079032","continued implementation macroeconomic stabilization policy supported economic growth"
"P079032","contract audit awarded project implementation extended yearto auditor subject satisfactory performance"
"P085375","component focus strengthening program management project implementing units project coordination cap evaluation teams related programs"
"P085375","subcomonent incentives grant districts million central government finance cost incentive grants limited districts meet exceed predetermined project performance criteria"
"P085375","subcomponenf aims generate consumer demand improved sanitation ii facilitate ability local markets respond demand iii promote improved hygiene behavior"
"P085375","subcomponent support phased program communityled total sanitation clts commencing safe excreta management promotion hand washing address issues water storage food hygiene solid waste wastewater management"
"P085375","subcomponent support capacity building advocacy activities government civil society improve water sanitation service delivery encourage increases reallocations local government budgets cdd wss efforts promote post construction innovations enhance sustainability pamsimassupported wss services longrun"
"P085375","subcomponent description component community empowerment institutional capacity building subcomponents implementation cdd processes community level strengthening capacities program management strengthening capacities program sustainability mainstreamingand scaling subcomponent"
"P085375","subcomponent description component sanitation hygiene improvement distributedamong subcomponents total sanitation program sanitation hygiene marketing program school hygiene sanitation program strengthening local sanitation hygiene units subcomponent"
"P085375","subdistrict coordination aspect coordination district depending geographic distribution participating villages"
"P085375","subject review steering committee july project implementation includes thirty districts approximately districts submitted written commitments participate project accordance rules guidelines"
"P085375","subproject funding withdrawn designated bank authorized vit representative simple receipt"
"P085375","subproject selection mechanisms processes subproject selection ensure inclusion happen"
"P085375","subprojects include purchase providedlinstalled community community acting suppliers"
"P085375","program operationalize communitybased wses policy framework scale establish fiduciary measures safeguards carry sector wide approach swap achieving wss mdgs"
"P085375","public promptly request publicly publish widely contract award information contracts promptly award promptly request person company contracts awarded months preceding date request respect project including providersupplierconsultant contract amount bidderslproposals procurement method purpose contract"
"P085375","sufficient resources built projects monitoring budget adequate samplinglspot checking approach monitoring actual environmental impacts grants amend screening procedures"
"P085375","summary implementing arrangements project implemented central government funds assistance channeled directly village level"
"P085375","supplierconsuetanuontractor contracts payments suppliers consultants contractors procured procurement procedures financing agreement accordance contracts entities"
"P085375","support project implementation cover technical assistance sectoral activities training capacity building health sanitation water supply village district provincial central levels government ii project management implementation oversight quality control financial technical monitoring reporting project components iiithe evaluation project outcomes iv progressive transfer functions responsibilities local agencies"
"P085375","sustainability monitoring carried periodically community level implementation processes measure progress project outcomes"
"P085375","sustainability rural water supply sanitation infrastructure rural indonesia history communitymanaged water supply services naturally occurring springs rainwater groundwater sources"
"P085375","sustainability wss facilities outcomes results effective functioning technical effective social equity hygiene behavior water supply sanitation systems"
"P085375","sustainability planning monitoring community water supply sanitation"
"P085375","sustainability project addresses issue sustainability dimensions"
"P085375","implementation support national cmac estimated million hired ministry public mpw central level provincial management advisory consultants pmac million hired provincial levels"
"P085375","monitoring evaluation independentproject monitoring evaluation consultant usd million hired mpw central level intermittently evaluate performance project including implemented community level"
"P085375","improve monitoring district wss mdg targets sanitationand hygiene programperformance assessing program impacts effectively support community programs hygiene practices improvement"
"P085375","achieve mdg additional million people access improved water sanitation services table annex annual cost billion optimistic estimate current annual spending million spent urban"
"P085375","answer question previouslyconducted economic analyses wslic reviewed wslic pad cost benefit investing water sanitation hygiene wsh improvements based cdd approach bappenasasem cdd study"
"P085375","vl politically strong communities objective propoor formula village selection"
"P085375","table proposed water supply technology options pamsimas operation maintenance repair construction cft conduct onthejob training operation maintenance om organization preferably composed vit community operation maintenance covering regular checking component iiperiodic maintenance components iii repairs breakdown maintenance"
"P085375","tahun tentang pemerintahan daerah ministry health ri asian development bank"
"P085375","tahun tentang pengembangan sistem penyediaanair minum laws"
"P085375","targeted communities gain access improved rural periurban water supply sanitation services manage sustain effectively"
"P085375","targeted communities progressively adopted key hygiene practices"
"P085375","targeting guidelines based wslic dpmus consultants specifically trained delivering guidelines reflect priority target poor minorities gender specific groupings"
"P085375","technical assistance support provided project system design construction commissioning operation"
"P085375","technical assistance consultants technical assistance consultants contracted support executing implementing agencies central district level"
"P085375","technical assistance determine water demand system options engineering design options operational maintenance training water source assessment financed component"
"P085375","technical assistance improve ig capacity provided funding allocation projects eirtp dg highways mpw national institute human resource development empowerment"
"P085375","technical project adopt technologies methodologies proven effectiveness attaining project objectives"
"P085375","technical financial administrative guidelines manuals prepared"
"P085375","terms reference agreed bank cover review internal controls project expenditure"
"P085375","terms trade balance payments current account balance gdp usmillions exports services imports services resource balance net income net current transfers current account balance financing items net net reserves gs sa memo reserves including gold millions conversion rate dec lmws"
"P085375","includes percent urban percent rural population"
"P085375","project manuals project ensure information dissemination reach villages participating district communities aware program"
"P085375","acap english indonesianversions posted project website link main webpage"
"P085375","advance accounted kppnzwithin month"
"P085375","affected parties informed project donate land pressure"
"P085375","affected parties consulted participatory manner"
"P085375","allocation funds village estimated average rp million proposal assessed technology options selected component amount grant provided based estimated cost communitys cap proposal"
"P085375","allocation responsibilities implementingagencies conform designated role function respective agencies"
"P085375","analysis project benefits equitably distributed health services distribution income indonesia"
"P085375","announcements request villages submit onepage applications forms included announcements district project management unit copy bappeda kabkota"
"P085375","annual audit reports audited financial statements furnished bank months government fiscal june"
"P085375","annual social economic costs sanitationrelated health estimated billion rpooo household month"
"P085375","asian development bank adb country governance assessment report september similarly concluded reform national financial management system decentralization process country"
"P085375","assignment cmac contract duration project ubcomponent"
"P085375","assistance management consultants mitigate risk project involve block grants community amounting estimated million"
"P085375","audit reports bank request"
"P085375","audit conducted accordance terms reference audit acceptable bank agreed negotiations"
"P085375","award contractor offers lowest price quotation"
"P085375","award supplier offers lowest price quotation"
"P085375","bank standard rfp"
"P085375","bappenasasem analysis estimated irr wslic pad include expected health benefits wslic reflected economic savings time commercial water purchases"
"P085375","bappenasasem cdd study"
"P085375","bappenasasem study found wslic approach highly costeffective"
"P085375","base social political support national program based cdd approach limited"
"P085375","beneficiary communities contribute percent investment cost community action plans"
"P085375","block grants limited ceiling rp million village"
"P085375","boundaries tarakan pematangsiantar sea paci colors denominations information shown simeulue oce map imply morotai manado singapore judgment legal status territory nias tanjungpinang ternate halmahera endorsement pekanbaru acceptance pontianak al im antan tan gorontalo waigeo boundaries"
"P085375","budget cabinet national budget september cabinet approval parliament"
"P085375","budget banks project integrated budget respective government agency project implemented mpw moh"
"P085375","building household latrines project funds provision revolving fund purpose effective"
"P085375","provide oversight technical guidance consultants engaged provincial district levels coordinate sector specific consultant inputs procured components"
"P085375","supported technical financial administrative experts dghs"
"P085375","campaigns segmented address influence priorities attitudes behaviours target identified research studies funding implementation models"
"P085375","campaigns advocate investment sanitation hygiene improvement targeting local decisionmakers including politicians administrators government officials community leaders health service providers local trendsetters role models"
"P085375","cap comprise detailed engineering designs water periurban sanitation infrastructure social map existing access poor nonpoor households wss facilities planned improvement wss facilities funded project budget planning construction physical including breakdown community government contributions action plan defining village labor contracted proposed payment arrangements procurement schedule implementation agreement"
"P085375","cap include key behavior promoted community action plan purpose school sanitation capacity building plans community management community monitoring essential features community process include facilitation methodology participatory assessmentslparticipatory hygiene sanitation transformation mpaphast clts trained community facilitators inclusion women poor assured approach supported project policy specific training monitoring"
"P085375","capacity provincial district governments carry procurement consultants goodslservices worse"
"P085375","cdd approach providing villages water supply comparison traditional topdown approach stimulates community ownership increases participation women poor marginalized prospects sustainability"
"P085375","central executing agency ministry public"
"P085375","central executing agency ministry public"
"P085375","central executing agency establish program coordination steering committee pcsc consisting representatives implementing agencies pcsc secretariaflechnical team consisting echelon representatives"
"P085375","central ii project management structure consist main levels organization provincial iiidistrict iv villagelsubdistrict"
"P085375","central management advisory consultant cmac responsible project management support technical support monitoring implementation reporting"
"P085375","cf sanitation health promotion responsible community level data gathering sanitationprogram"
"P085375","cfs provided provincial management advisory consultants resources contracts cover cf costs including extensive training requirements"
"P085375","cfs responsible facilitating aspects community process"
"P085375","cfs informed choice catalogues water supply sanitation options discuss options communities"
"P085375","cft continue provide training vit technical team community learn basic construction skills construct facilities based agreed design ded"
"P085375","cfts trained accordance agreed pamsimas guidelines based wslic experience certified provincial certification boards organized cg provincial governments"
"P085375","cfts facilitate informed choice communities widely discussion options costs community"
"P085375","challenge sector policy effectively translated action scale local governments leveraging pooling ongoing flow funds synergistically sector development sources including government private sector user communities external support agencies"
"P085375","circular distributed door door poor neighborhoods"
"P085375","circular encourage women participate stipulates women equal opportunity assume leadership roles vit project rules require vits gender socially inclusive"
"P085375","clts process educationakommunication activities facilitate community appreciation sanitation consequences develop address measure results"
"P085375","clts ignition process trigger community initiatives stop defecation improve household sanitation safely dispose child faeces external funds hardware subsidy"
"P085375","cmac contracts cover initial period extension subject satisfactory performance project"
"P085375","cmac provide technical advisory support implementing agencies expertise fields wss health capacity building institutional strengthening community empowerment"
"P085375","cmac responsible technical manual preparation dissemination updating components project"
"P085375","cmac establish maintain computerized information system"
"P085375","cmac regional offices province support coordination monitoring activities regional provincial level provincial management advisory consultant teams responsible providing support participating district governments dpmu"
"P085375","committed project implementation team dghs mpw dgdceh moh dgvce dgrd extensive prior experience implementing past bankfinanced projects"
"P085375","committee collect information skills performance contractors service providers avoid spending lot money droductive results"
"P085375","community required disclose information upfront representatives family family evaluation committee local government levels ii board directors commissionaires relevant management echelon respective consultants iii local governments"
"P085375","community expected existing spaces voluntarily contributed land"
"P085375","community responsible operation maintenance costs"
"P085375","communityled total sanitation clts approach provide external funding household latrine construction implemented preparation cap construction starts"
"P085375","complaints handling system supervised periodic review statistics based typology severity location field level checks ensure reported acted"
"P085375","consultant evaluate achievement project objectives quality project processes performance implementing agencies including cpmu ppmus dpmus"
"P085375","consultant staffing expertise support ppmus dpmus established respective provinces technical teams district level"
"P085375","consultant responsible project management support technical guidance monitoring implementation technical financial reporting"
"P085375","consultants selected cpmu terms reference procedures approved bank"
"P085375","contracts cover period expected local governments oversee grant implementation"
"P085375","cooperation technical health community development agencies pamsimas multidisciplinary community approach designed enhance communities ability informed technical choices implement hygiene behavior maximize potential health socialeconomic benefits"
"P085375","coordination control management monitoring project progressively levels government administration aim achieve maximum impact project village level"
"P085375","cost sustaining completed systems borne community maintenance charge collection system averages percent average household income rural project provinces"
"P085375","country financial accountability assessment cfaa completed bank concluded control environment indonesia weak"
"P085375","country interventions strategies bring local government understanding buyin investing water supply sanitation sector short longterm economic benefits including short term benefits annual savings terms reduction alltoofrequent outbreaks diarrhea diseases ii longterm benefits improved health productivity local populations protection growth development infants children vulnerable waterborne diseases"
"P085375","cpmu responsible project coordination daytoday management budgeting financial administration monitoring reporting contract management consultants appointed project"
"P085375","cpmu delegated representative responsible contract management consultants appointed project"
"P085375","cpmu disseminate information local agencies train agency facilitators"
"P085375","cpmu assisted cmac provide technical implementation support capacity building project management oversight provincial district level technical assistance service contracts"
"P085375","cpmu responsible project coordination daytoday management budgeting financial administration monitoring reporting"
"P085375","cpmu responsible project coordination daytoday management budgeting financial administration monitoring reporting contract management consultants appointed project"
"P085375","cpmu develop framework environmental monitoring report agreed world bank months credit effectiveness"
"P085375","cpmu include staff implementing agencies"
"P085375","cpmu ppmus dpmus responsible procurement activities cpmu ppmus dpmus components accordance agreed budgets"
"P085375","credit funded component awarded communities successfully implemented program"
"P085375","criteria qualification grants publicized start project participating districts"
"P085375","criterion capable communities providing contribution risk excluding disadvantaged communities including ip communities project participation"
"P085375","cwsh project implemented provinces involving total districts approximately communities average households community"
"P085375","design project encourages participating districts commit implement replication program wss predetermined villages funds applying methodology approach project"
"P085375","design project structured ensure participation inclusion communities local level decision resource allocation"
"P085375","design reflects intent government expand activities pamsinias nationwide multisectoral program creates incentives achieve major replication wss program local government contribution cap performance incentive grants expand program coalition building government civil society addition pamsimas collaborate waspola project gois intersectoral water supply environmental sanitation prepare swap operationalization gois cddwss policy framework annex details"
"P085375","design reflects intent government expand activities pamsmas scope project nationwide multisectoral program creates incentives achieve"
"P085375","designated bank invest partially balance accrue compensate operating costs incurred times sufficient liquidity pay claims balance amount"
"P085375","designated bank office disburse approved subproject documentation agreement claim amounts verification signatures"
"P085375","designated bank verifies signatures amount releases funds cash"
"P085375","designated bank provide bank statements credits debits community balance funds"
"P085375","detailed procedures implementation community participation included pom"
"P085375","director human settlements responsible cpmu budget delegate echelon officer authority project expenditure echelon officer day day management cpmu"
"P085375","district village development grants component provide financial incentives approximately participating districtshillages scale enhance sustainability water supply sanitation hygiene assistance provided"
"P085375","district village incentive grants component apply negative approach detailed"
"P085375","district governments expected administer superviselmonitor block grants communities"
"P085375","district pmu represented bodies actively participate deliberations formed"
"P085375","district public office executive functions district level"
"P085375","districts develop range appealing affordable sanitation options service contracts train accredit local masons suppliers delivering service options promote products direct marketing local advertising create links potential customers competent service providers"
"P085375","dpmu responsible monitoring treatment isolated vulnerable people project"
"P085375","dpmus responsible raising safeguard awareness communities"
"P085375","ea establish program coordination steering committee pcsc consisting echelon representatives implementing agencies pcsc secretariat technical team consisting echelon representativesfrom implementing agencies"
"P085375","economic crisis late severely curtailed investment infrastructure"
"P085375","effectiveness support assessed measure district performance"
"P085375","essential features subcomponent"
"P085375","essential features component"
"P085375","evaluation consultant independent consultant report directly steering committee"
"P085375","evaluation track range outcome indicators water sanitation facilities change defecation hand washing behavior time utilization income generating activities range nutrition health indicators diarrhea past weeks"
"P085375","executing agencies request similar commitments participating districts"
"P085375","executing agency implementing agency publication audit risk information conduct annual audits parties report progress result project include review procurement implementation including low risk implementation results checks quality misuse collusive nepotism quantity acquired services practice verification payments price comparison contract price market price"
"P085375","executing agency project director human settlement dghs ministry public mpw director disease control environment dgdceh ministry health moh director village community empowerment dgvce director regional development dgrd ministry home affair mow"
"P085375","executing agency requested districts submit list villages meet prequalification criteria ipoverty ii low level water supply sanitation facilities iii incidence diarrhea iv recipient similar assistance"
"P085375","executing agency finance services terms references"
"P085375","executing agency select consultant banks current guidelines"
"P085375","executing agency provide guidelines evaluation proposals delays evaluating technical training conduct clarifications andor financial proposals risk negotiations line bank bargain guidelines"
"P085375","extent cfts demonstrate gender balance consideration annual performance reviews provincial service contracts terms reference service contracts stipulate equal balance female male facilitators"
"P085375","owing action plan agreed foster prc ct implementat ion actions due date"
"P085375","occur procurement takes civil society observers procurement processes selected transparent manner"
"P085375","facilitators selected ppmu process competitive recruitment based selection criteria qualifications experience capability related attitude commitment tasks"
"P085375","facilitators graduated selected based assessment competence undertaken training"
"P085375","final budget project ready submission world bank annual plan project"
"P085375","final vit formation legalized decree bupati"
"P085375","financial controls surrounding expenditures rely procedures developed extensively tested cdd projects"
"P085375","financial management assessment project carried accordance guidance issued financial management sector board november"
"P085375","financing agreement provide explicit clause bank declare misprocurement qualification procurement committee satisfactory preparation rfp criteria suit establish guidance criteria preparation consultants"
"P085375","financing agreement provide explicitly specific clause bank declare misprocurement satisfactory qualification procurement committee"
"P085375","financing agreement provide explicitly specific clause bank declare misprocurement complied"
"P085375","financing agreement provide explicitly specific clause bank declare misprocurement complied"
"P085375","financing gap achieve rural wss mdgs pamsimas estimated approximately million annually"
"P085375","relates term maintenance operation pamsimasfinanced water supply construction permanence intended beneficiaries behavior change"
"P085375","report consist planning covering months forecast fund required procurement plan"
"P085375","fmal ded final social map existing planned water households cap"
"P085375","proposed mutually reinforcing features pamsimas improve sustainability choice affordable ws system terms maintenance cdd approach ta facilitators costsharing organizing communities empowering plan manage operate collect user fees sufficient maintain repair replace chosen ws system ensuring beneficiaries grant keeping system operational requiring cash percent inkinalabor contribution selfselection mechanism increases chances ws grant communities pay operations maintenance costs"
