Project,Text,Target
100000,interventions focus lastmile connectivity complete missing links meat chain,Biodiversity
100000,investments activities focus roads aimags concentrations livestock freight flows meat concentrated,Biodiversity
100000,key unlocking economic potential mongolias livestock availability efficient terminals logistics services extend cold chain facilities add livestock products,Biodiversity
100000,exact scale scope land acquisition page turkey climate smart competitive agricultural growth project tucsap time exact locations project activities finalized,Biodiversity
100000,focus technologies suitable medium farm enterprises enhance supply chain coordination provision services farmers producer organizations agribusiness,Biodiversity
100000,format soil land information disseminated accessible users critical influence impacts,Biodiversity
100000,directorate agricultural reform trgm department soil conservation land assessment lead implementation subcomponent,Biodiversity
100000,directorate agricultural reform trgm lead implementation component,Biodiversity
100000,global food security index ranks turkey countries respect food security environment,Biodiversity
100000,grant windows producer organizations agribusinesses pother service providers facilitate access technologies related services farmers unable purchase effectively individual basis,Biodiversity
100000,governance unsustainable financing model indonesias power sector created growing risks requires urgent reforms improve plns operational financial performance accelerate energy transition,Climate mitigation
100000,governments ftpi ii favored coalbased generation broader strategic shift move imported oil reduce exposure fuel price fluctuations deploying indigenous energy sources,Climate mitigation
100000,climate information services generated initiatives increase productivity resilience participating farmers advising crop vulnerabilities informing decisions improve wateruse patterns irrigated advising optimal timing plantingharvesting based weather forecasts build capacity nms staff facilitating training midlevel technicians instrumentation climatology agrometeorology weather climate forecasting design establish system ensure linkages baims nms agrometeorological data systems communication system drawing contact information baims provide agroweather advisories eextension farmers,Climate mitigation
100000,climatesmart agriculture matching grants program subcomponent cresap uptake csa technologies promoted provision matching grants,Climate mitigation
100000,climatesensitive communicable diseases including dengue japanese encephalitis malaria typhus,Climate mitigation
100000,impacts climate change considered program design contributes climate change mitigation adaptation yrb line chinas nationally determined contributions ndcs,Climate mitigation
100000,economic internal rate return eirr project calculated period basecase scenarios carbon reduction benefits scenarios shadow price carbon,Climate mitigation
100000,eirr base percent withoutcarbonreductionbenefits scenario percent percent low shadow price carbon scenarios marginal carbon sequestration benefits estimatedrounded decimal,Climate mitigation
100000,eirr base percent withoutcarbonreductionbenefits scenario percent percent low shadow price carbon scenarios marginal carbon sequestration benefits estimatedrounded decimal,Climate mitigation
100000,eirr project calculated period basecase scenarios carbon reduction benefits scenarios shadow price carbon,Climate mitigation
100000,environmental social section details mitigation measures risk,Climate mitigation
100000,esmf measures screen assess manage mitigate application land due diligence procedure rpf includes voluntary land donation protocol application beneficiaries criteria mechanisms equal distribution information,Climate mitigation
100000,exact version provide detailed analysis postfarm gate ghgs emitted avoided agrovalue chain investments postharvest handling storage processing distribution,Climate mitigation
100000,indicator measures proportion civil servants onboarded civil servants registered karmayogi platform annual dopt spv system generated dopt spv completed courses es risk completed trainings management climate change related es risk management climate change,Climate mitigation
100000,guidance note low scenarios social cost carbon time scenario due positive net emission project,Climate mitigation
100000,implementation modern asset management practices local road network sustainable urban mobility plans ensure subsequent infrastructure investments sustainable,Climate mitigation
100000,ghg emissions reductions estimated subprojects information related onsite diesel generation,Climate mitigation
100000,impact achieving projects development outcomes moderate project design mitigation measures adopted project,Climate mitigation
100000,improved electricity service reliability contribute continuous functioning health facilities enable homebased virtual education critical covid response mitigation efforts,Climate mitigation
100000,eu turkeys biggest agrifood trade partner promoting climate action recently launched green deal highlights eus commitment tackling climate environmental challenges achieving carbon neutrality,Climate mitigation
100000,exante carbonbalance tool exact applied estimate ghg impact agricultural activities supported operation,Climate mitigation
100000,chennai program aims improve chennais livability productivity carbon footprint serve lighthousein experience program expected directly inform development approaches international energy agency iea india energy outlook,Climate mitigation
100000,outcome indicators measure achievement pdo,NO MAP
100000,government plans world bank,NO MAP
100000,grs ensures complaints received promptly reviewed address projectrelated concerns,NO MAP
100000,hr strategy appears geared recruiting,NO MAP
100000,icsc required team specialists supervise implementation cesmps,NO MAP
100000,iesm consultant carry regular monitoring missions terms reference submit monitoring reports piu wb,NO MAP
100000,iesm consultant carry regular monitoring missions terms reference submit monitoring reports piu wb,NO MAP
100000,iesm consultant support pln monitoring implementation cesmps,NO MAP
100000,iesm consultant support pln,NO MAP
100000,indonesian economy recession time asian financial crisis due covid shock,NO MAP
100000,borrower conducted stakeholder consultations,NO MAP
100000,bsif piu charge aggregating analyzing data inclusion semiannual progress reports,NO MAP
100000,bsif piu responsible coordination monitoring climatesmart matching grant program,NO MAP
100000,bsif piu develop project manual incorporated pom,NO MAP
100000,bsif piu responsibility,NO MAP
100000,ceiling da variable based cash forecast ifrs dfil,NO MAP
100000,cerc contingent financing mechanism belize access bank financing event eligible crisis emergency event,NO MAP
100000,cerc contingent financing mechanism permit belize rapid access world bank support event eligible crisis emergency,NO MAP
100000,cerc activated managed accordance applicable bank policies triggered government belize officially declared emergency provided statement justifying request activate emergency funding,NO MAP
100000,characteristics infrastructure implemented subcomponent defined light projected temperature precipitation based national communication,NO MAP
100000,representative cost data,NO MAP
100000,respective mandates key stakeholders regard jkn health sector outcomes,NO MAP
100000,responsibility data collection pdo intermediate outcome indicators listed annex,NO MAP
100000,results monitoring evaluation,NO MAP
100000,revenue membership class,NO MAP
100000,revising basic benefit package,NO MAP
100000,geographic boundary program includes counties municipalities xianyang tongchuan,NO MAP
100000,gfmis mutual platform shared budget units fbs horizontally level government,NO MAP
100000,government analyze potentials program building existing studies dpdpm,NO MAP
100000,igf team responsible verification independent team conduct audits pforr,NO MAP
100000,implementation measures strengthened integration pap,NO MAP
100000,incubator targeted program aspects support dlr,NO MAP
100000,indicator measures level citizen engagement reports planning managing consultation mpas,NO MAP
100000,majority category southern african customs union sacu revenuesharing agreement oecd,NO MAP
100000,mapping eccde service providers cover public private service providers country,NO MAP
100000,mapping focus eccde services eswatini services exist,NO MAP
100000,economic lives smallholder farmers analysis based household data countries httpswwwfaoorgieiepdf,NO MAP
100000,efa considers project costs project outreach assumptions time appraisal january,NO MAP
100000,efa integral projects system,NO MAP
100000,emergence middle class occurred single generation,NO MAP
100000,fiduciary risks considered substantial,NO MAP
100000,design lot meets target,NO MAP
100000,discount rate percent matches standard discount rate gog economic appraisals,NO MAP
100000,division retain adequate staff unit head staff continue monitoring results,NO MAP
100000,documents continuously updated reflect evolving implementation,NO MAP
100000,draft rap sep disclosed incountry december draft lmp disclosed country january,NO MAP
100000,economic indicators provided eirr economic net enpv,NO MAP
100000,eia updated address requirements esf disclosed esia,NO MAP
100000,es risk rated substantial,NO MAP
100000,igot platform allowed scalingup training location staff,NO MAP
100000,istm nodal agency developing operationalizing competency framework,NO MAP
100000,principles design operation,NO MAP
100000,principles design operation,NO MAP
100000,format ifrs agreed gos bank attached pogm,NO MAP
100000,format quarterly reports defined piu include updates project results indicators,NO MAP
100000,formula ensures fair distribution resources priority poorer vulnerable lsgs,NO MAP
100000,formula similar parameters instances subnational transfers,NO MAP
100000,formula ensure fair distribution resources priority poorer vulnerable lsgs,NO MAP
100000,grs ensures complaints received promptly reviewed address projectrelated concerns,NO MAP
100000,es review highlighted findings,NO MAP
100000,es risk rating project classified substantial,NO MAP
100000,estimated costs include buffer stocks,NO MAP
100000,existing systems assessed relevant requirements set esf ess,NO MAP
100000,existing team national covid vaccination program coordination support unit responsible project,NO MAP
100000,banks added technical advisory implementation support challenging reforms,NO MAP
100000,body explore incentives women school idea children,NO MAP
100000,cash benefits transferred beneficiaries managed jai bangla portal centralized portal schemes,NO MAP
100000,exception approved rvp march,NO MAP
100000,expenditure program addresses infrastructure service delivery requirements parallel basis,NO MAP
100000,expenses stood inr crores,NO MAP
100000,tranche budget fund flow transferred conditions finance department,NO MAP
100000,fiscal deficit increased percent gsdp fy estimated increased percent fy,NO MAP
100000,fiveyear business plan performancebased payments household connections tourists services,NO MAP
100000,fmm prescribes annual internal audit ca firm lays terms reference audit,NO MAP
100000,fmm prescribes quarterly financial reports prepared,NO MAP
100000,borrower furnish bank project report fortyfive days calendar semester covering calendar semester,NO MAP
100000,grs ensures complaints received promptly reviewed address projectrelated concerns,NO MAP
100000,ifrs submitted bank days reporting quarter,NO MAP
100000,financial analysis representative sample selected subprojects financed project viable,NO MAP
100000,financial analysis discount rate percent,NO MAP
100000,financial institution fideicomiso issue account statement verification monitoring purpose,NO MAP
100000,financial internal rate return firr estimated financial cash flows discounted rate percent npv,NO MAP
100000,financial management fm arrangements,NO MAP
100000,firr projects net financial benefits estimated million,NO MAP
100000,fm arrangements project straightforward,NO MAP
100000,fm residual risk project moderate,NO MAP
100000,fm specialist considered key staff hired days project effectiveness date,NO MAP
100000,fma recommends set mitigating measures address main financial management challenges,NO MAP
100000,table summarizes mitigation actions proposed procurementrelated risks table,NO MAP
100000,table summarizes mitigation actions proposed procurementrelated risks table ab,NO MAP
100000,grs ensures complaints received promptly reviewed address projectrelated concerns,NO MAP
100000,ifrs prepared local currency dollars submitted wb piu semiannual basis days calendar semester,NO MAP
100000,exchange rate converting turkish lira tl dollar average registered,NO MAP
100000,financial management arrangements project moderately satisfactory,NO MAP
100000,findings assessment inform project activities,NO MAP
100000,set audit reports submitted bank june calendar disbursement loan grant,NO MAP
100000,action plan identified stage table,NO MAP
100000,lessons learned reflected project design,NO MAP
100000,paragraphs review considerations led rating,NO MAP
100000,table summarizes audit requirements project table,NO MAP
100000,format contents ifrs agreed bank attached minutes negotiation,NO MAP
100000,gds responsible submitting payment supporting documents moafs accounting officer sayman initial review confirmation provided pcu fm unit assignment transaction,NO MAP
100000,gds responsible stages procurement verification receipt services preparation supporting documentation payments,NO MAP
100000,gds proceed stage procurement process including contract awarding satisfactory resolution complaints,NO MAP
100000,gds assign procurement staff months current qualified staff effectiveness,NO MAP
100000,contract minimum duration,NO MAP
100000,contracts include kpis incentives penalties reflect quality delivery private bus service providers,NO MAP
100000,costbenefit analysis includes benefits sector andor intervention,NO MAP
100000,covid pandemic affected economic activity significantly,NO MAP
100000,covid pandemic exacerbated vulnerabilities traditionally excluded youth women,NO MAP
100000,csusp designed pforr incentivizes results features worth highlighting,NO MAP
100000,data consolidated submitted report iva annual basis relevant backup information links,NO MAP
100000,department functional grm,NO MAP
100000,dlis designed transversally supportive compatible sectors serve reinforce program objective,NO MAP
100000,governments focus strengthening human capital supported global evidence,NO MAP
100000,grs ensures complaints received promptly reviewed address pertinent concerns,NO MAP
100000,guiding principle dlrs objective bringing transformational change,NO MAP
100000,hand software developer agency finalized,NO MAP
100000,relationship cpscpf rationale instrument,NO MAP
100000,cost sharing introduced health services prone moral hazard abuse,NO MAP
100000,studies assess effectiveness decision support technologies,NO MAP
100000,pforr ensures patients receive minimum quality standards socioeconomic background,NO MAP
100000,section iii schedule loan agreement,NO MAP
100000,sector strategies policies substantial,NO MAP
100000,dlis directly reflected results framework,NO MAP
100000,government institutions combat fraud corruption,NO MAP
100000,government program articulated yrb plan issued october,NO MAP
100000,governments program consists highlevel yrb plan provincial programs henan shaanxi provinces yrcc plan,NO MAP
100000,government program include policy interventions investments granted based potentials region,NO MAP
100000,government program pilot mode interministerial vertical coordination line ndm consistent concept,NO MAP
100000,indicator elements msmes established description existing msmes transformed incubator program,NO MAP
100000,moet rolling curriculum primary grades promising approach teaching reading mathematics,NO MAP
100000,moet primary implementing agency responsible coordination implementation project,NO MAP
100000,moet ps accountable minister moet matters related project implementation process,NO MAP
100000,economic rebound covid moderated covid delta wave,NO MAP
100000,esia rap projectfinanced highway section prepared consulting teams reviewed disclosed consulted,NO MAP
100000,institutional capacity implementation sustainability risk assessed substantial,NO MAP
100000,funds grants flow da rsd account separate lsg rsd accounts lsgs local treasury grant related purposes,NO MAP
100000,global covid pandemic significant impact public finances,NO MAP
100000,ifc expected play key role analytics expertise,NO MAP
100000,ifrs due days quarter,NO MAP
100000,ifrs cover world bank afd financing,NO MAP
100000,committee published report nonpersonal data governance framework,NO MAP
100000,comptroller auditor cag india carries compliance audits annually auditrelated queries,NO MAP
100000,consultancy services nature studies preparation manuals training modules implementation solutions,NO MAP
100000,cost broad government reform program fy estimated billion,NO MAP
100000,critical importance womens empowerment development recognized,NO MAP
100000,design pforr program builds recent analytics reviews social protection systems,NO MAP
100000,development roll jai bangla require technical assistance,NO MAP
100000,draft essa disclosed government website november banks external website october,NO MAP
100000,expected recovery india worlds fastestgrowing economies,NO MAP
100000,feedback obtained workshop refine finalize essa,NO MAP
100000,figure assessment sjpnl details annex,NO MAP
100000,finance department devised checklists verifying contractor vendor bills checklists fmm,NO MAP
100000,finance function headed finance manager,NO MAP
100000,finance section compiles budget board directors approval,NO MAP
100000,financial statements audited january,NO MAP
100000,financing goi expected rise significantly,NO MAP
100000,audited project financial statements shared bank december months close financial,NO MAP
100000,borrower provide promptly funds facilities services resources required project,NO MAP
100000,cag agreed standard terms reference projects india audit project activities dof,NO MAP
100000,cofinanciers project afd apply world bank esf project financing,NO MAP
100000,hub openaccess midmarket service competing abattoirs auctioneers traders rent capacity storage space,NO MAP
100000,frequency visits determined accordance projects risk rating monitored lifetime,NO MAP
100000,gleam tool account impacts improvements veterinary health surveillance medical products,NO MAP
100000,government responded swiftly covid economic stimulus program represented gdp,NO MAP
100000,cag carries compliance performance audits annually,NO MAP
100000,human capital delivery system recurrent challenge gender disparities,NO MAP
100000,indicator measures citizen engagement sesa services,NO MAP
100000,information disaggregated aid sesa perform job matching services,NO MAP
100000,information public procurement etendersgovge webpage bidders parties,NO MAP
100000,irssp include data warehouse collects information social programs benefits administration systems,NO MAP
100000,doh review plans ensure prioritize highimpact interventions consistent ppan project objectives,NO MAP
100000,doh nnc develop countrys nutrition policies supports nncs efforts implementing ppan,NO MAP
100000,dohs regional offices lgus accumulated experience similar procurements past,NO MAP
100000,dohs regional offices lgus pbg recipients experience similar procurements projectsprograms,NO MAP
100000,dswd doh lead implementing agencies,NO MAP
100000,dswd doh forecast cash project sixmonth period submit withdrawal application bank,NO MAP
100000,dswd doh maintain separate mds peso project account land bank philippines,NO MAP
100000,focus platforms reducing inefficiencies cost standardizing management evaluation federal programs promoting equity offering education solutions public schools iii,NO MAP
100000,forthcoming brazilian human capital review calculates hci brazil estimates average brazilian born expected achieve percent hisher potential similar argentina colombia,NO MAP
100000,government relied heavily stateowned enterprise soes deliver infrastructure agenda providing capital injections guarantees,NO MAP
100000,government suspended percent gdp deficit ceiling implemented covid fiscal response package amounting percent gdp,NO MAP
100000,icsc provide guidance technical design construction social environmental aspects construction period ii economic financial analysis,NO MAP
100000,implementation support plan staff skills mix summarized table table,NO MAP
100000,beneficiaries matching grants subcomponent benefit technical support preparing matching grant proposals subcomponent beneficiaries matching grants infrastructure subcomponents subcomponents beneficiaries eextension services delivered component,NO MAP
100000,borrower mafse bsif pfis enter agreements participation agreements beneficiaries pfi provide beneficiary matching grant finance csa investment manner acceptable bank basis model satisfactory bank set mgom,NO MAP
100000,borrower mafse establish maintain project implementation approval committee matching grant approval committee composition functions responsibilities satisfactory bank set matching grant operations manual mgom,NO MAP
100000,citizen engagement process continue employ variety tools focus interviews client surveys digital communication channels whatsapp facebook messenger teams zoom webex google meet phone calls text messages personal interactions strict regard covid physical distancing rules reach audiences ensure opportunities twoway dialogue closing feedback loop,NO MAP
100000,cost daily farm labor bz based minimum salary scale ongoing influence supply demand,NO MAP
100000,rejected claims claims manual distinguish reasons claim rejected,NO MAP
100000,report pad international bank reconstruction development program appraisal document proposed loan amount million republic indonesia national health insurance jkn reforms results program programforresults november health nutrition population global practice east asia pacific region document restricted distribution recipients performance official duties,NO MAP
100000,reporting compliance strong financial incentive providers submit required forms reimbursed,NO MAP
100000,results framework matrix results framework country indonesia national health insurance jkn reforms results program program development objectives program development objective strengthen quality efficiency indonesias national health insurance program,NO MAP
100000,results logic challenges activities outputs outcomes ra strengthening quality care providers unable draft clinical moh developed improved patient diagnose common pathwaysprocesses clinical decision satisfaction pdo conditions care common support tool fktps improved provider diabetes hypertension conditions,NO MAP
100000,revealing missing link private sector supplyside readiness primary maternal health services indonesia,NO MAP
100000,bus system flat declining ridership due factors bus fleet quality poor intermodal linkages fragmented fare system poor rider engagement,NO MAP
100000,irrsp include reporting business intelligence page georgia human capital program statistics tools assist forecasting,NO MAP
100000,dswd implementing world bankassisted projects familiar bank requirements maintenance acceptable fm arrangements,NO MAP
100000,dswd implementing world bankassisted projects familiar world bank requirements maintenance acceptable fm arrangements,NO MAP
100000,digitalization public services training public staff digital skills develop local capacity transition congo digital government,NO MAP
100000,role partners program implementation institutioncountry role usaid dfat united nations indonesia coordinated technical assistance moh childrens fund key stakeholders bmgf seattledelhi cofinancing page national health insurance jkn reforms results program annex,NO MAP
100000,sections description months effective date date agreed bank borrower borrower establish maintain pie establish maintain times implementation program entities staff functions resources satisfactory bank steering committee consisting echelon officials bappenas bpjsk djsn kemenko pmk mof moh moha board bpjsk djsn responsible providing policy guidance oversight program implementation inter alia setting policy annual targets reviewing progress performance resolving specific issues required,NO MAP
100000,sections description explicitly required permitted agreement explicitly requested bank sharing information report document related activities schedule agreement borrower ensure pie ensure information report document include personal data,NO MAP
100000,sections description month effective date date agreed bank borrower borrower appoint bpkp act independent verification agent undertake dlr verification process accordance terms reference acceptable bank section schedule loan agreement,NO MAP
100000,sectoral multisectoral institutional context health sector context,NO MAP
100000,service verification include checks carried assessing coding accuracy diagnosis procedure codes genders age diagnosis procedure combinations incorrect rare unusual diagnosis codes analytics methods identify red flags trigger indepth manual review based outlier analysis,NO MAP
100000,fm capacity deemed acceptable world bank program fm,NO MAP
100000,activities excluded estimated cost million equivalent contract nonconsulting services estimated cost million equivalent contract consulting services estimated cost million equivalent contract,NO MAP
100000,fsa assessed pfm system public procurement system governance key program implementing agencies line agencies,NO MAP
100000,fsa program concludes fiduciary systems proposed mitigation measures provide reasonable assurance program financing proceeds intended purpose due attention principles economy efficiency effectiveness transparency accountability,NO MAP
100000,fsa conducted world banks policy pforr related directives identified key fiduciary risks affect programs development outcomes recommended system improvement capacity strengthening mitigation measures implemented life program,NO MAP
100000,funding allocation rules henan province shaanxi province provide strong incentives counties achieve desirable objects set provincial governments ensure money,NO MAP
100000,implementation arrangements resultsbased financing incentivizes action sector agencies mitigate risk pap action related monitoring reporting mechanisms meaningful public participation grievance redress,NO MAP
100000,implementation program require continuous support attention world bank team relation lending instrument technical innovations,NO MAP
100000,implementing agencies prepare final accounts reports financial reports annual basis,NO MAP
100000,implementing agencies report world bank contracts program implementation,NO MAP
100000,government program consistent provisions article finance law defines investment expenditures allocated strategic development plans multiyear programs protect national heritage,NO MAP
100000,government program replicate coordination approach regional level seeking convergence interventions ministerial departments involving regional actors,NO MAP
100000,government program interministerial commission main functions facilitate investments strengthen coordinated information consultation decisionmaking functions,NO MAP
100000,government budget execution procedures transfer contribution program treasury bank account managed public accountant assigned mef participating program,NO MAP
100000,grs ensures complaints received promptly reviewed address pertinent concerns,NO MAP
100000,implementa plans include tion identification physical consultations activities engagement stakeholders including vulnerable,NO MAP
100000,implementation arrangements support plan focuses actions world bank perform terms skills resources,NO MAP
100000,implementation arrangements support plan conducted line world banks implementation support guidelines pforr operations adapted design risk profile program,NO MAP
100000,implementing entities subject procurement planning requirements included ppd procurement regulations,NO MAP
100000,indicator measures piu collects data dpdpmanda women progress training women annual anda dpdpm mefpiu mteddd address mteddd page gender gaps consolidates total employment,NO MAP
100000,major planned procurement includes ta support development implementation interventions ii procurement eccde teaching learning materials indoor outdoor activities iii procurement development training manualsmodules teachers english siswati mathematics grades iv procurement training materials teachers procurement learning resources interactive projectors whiteboards software ancillary equipment vi ta support implementation ictenabled teaching learning mathematics science programs development specifications procurement equipment viii ta strengthening project implementation unit,NO MAP
100000,mapping form basis moving systematized process monitoring coordination subsector data consolidated moet emis system,NO MAP
100000,mms beneficiaries targeted schools indicator tracked mobile monitoring beneficiaries survey system mms representative sample schools,NO MAP
100000,model successfully implemented countries region shown positive results terms improved quality classroom instruction levels student learning,NO MAP
100000,model tested targeted eccde centers existing grade classrooms lay foundation comprehensively improve eccde service delivery ultimately child development outcomes eswatini,NO MAP
100000,moet developed learner books teacher guides mathematics english siswati grades imminent materials revised,NO MAP
100000,moet seconded staff shadow projecthired specialists build skills capacity respective fields aim moet staff taking key roles gradually,NO MAP
100000,moet chief inspector primary education chief inspector secondary education responsible leading coordinating component interventions targeted primary secondary schools,NO MAP
100000,moet supported psu housed moet accountable principal secretary ps moet director education moet,NO MAP
100000,moet develop key performance indicators identified contracts indicators monitored actual execution contracts team provide additional due diligence independent review contract performance identified procurements,NO MAP
100000,moet hire financial management specialist procurement specialist specialist es risk management specialist projectoffice assistant meet skills qualifications requirements agreed world bank moet pom,NO MAP
100000,moet identify highvalue contracts increased contract management support procurement plan,NO MAP
